dist,time,d14C,d14C_SD
0,-6503,-200.49,133.47
0,-6503,-374.03,148.44
0,-6503,-278.67,181.05
0,-6503,-511.11,141.9
135,-6153,-248.04,212.16
135,-6153,-438.41,211.02
135,-6153,-372.08,212.91
135,-6153,-412.28,205.75
420,-5663,-220.07,168.3
420,-5663,-143.29,234.72
420,-5663,-136.75,169.22
420,-5663,-217.61,260.14
865,-1173,-360.96,193.93
865,-1173,-185.56,236.94
865,-1173,-318.45,201.03
865,-1173,-353.31,183.22
1220,2017,-546.72,157.84
1220,2017,-265.21,206.22
1220,2017,-316.31,173.3
1220,2017,-247.62,193.15
