dist,time,C_kg,C_kg_SD
0,-6503,80641790.99,16159802.78
0,-6503,99336771.22,30877611.94
0,-6503,93244184.6,31246931.39
0,-6503,78174857.07,31970000.94
135,-6153,98739602.32,38807700.72
135,-6153,59840562.9,36020882.61
135,-6153,72616792.77,37254962.02
135,-6153,66928511.85,36051301.98
420,-5663,126541811.3,34820979.27
420,-5663,99046978.34,37376957.74
420,-5663,137800341.1,33599815.99
420,-5663,77648554.17,38678165.57
865,-1173,89641984.77,39057875.96
865,-1173,90952113.98,37316342.25
865,-1173,91112865.51,38117460.64
865,-1173,94698733.5,37435322.16
1220,2017,70206758.05,37510511.37
1220,2017,99590809.14,38855739.04
1220,2017,111456471.6,37844727.4
1220,2017,106994342.6,36953489.06
